strategy_version,symbol,name,market,term,unlock_date,decision,priority_tier,planned_check_date,planned_entry_date,planned_exit_date,entry_rule,suggested_weight_pct_of_base,bridge_status,minute_job_status,minute_job_count,minute_bars_loaded,turnover_signal_hits,turnover_first_signal_ts,turnover_first_entry_price,turnover_best_multiple,turnover_best_price_filter,turnover_best_ratio,turnover_backtest_trades,turnover_backtest_avg_net_ret_pct,turnover_backtest_win_rate,turnover_beta_proxy,turnover_alpha_proxy,rationale
2.0,480070,메디퓨처,코스닥,6M,2026-06-09,관찰강화,A,2026-06-08,2026-06-09,2026-09-04,해제일 종가,100,큐미설정,미설정,0,,0,,,,,,0,,,0.75,-0.0240107802874743,"6M 해제 전략 기준 관찰강화 (46.5점) · 백테스트 compound 63.64% · 강점: 해당 term 히스토리컬 우위, 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 백테스트 진입배수 미달"
2.0,480050,퀀텀로보틱스,코스피,3M,2026-05-19,보류,D,2026-05-18,2026-05-19,2026-07-02,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,"3M 해제 전략 기준 보류 (4.0점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음, 기술 상승추세 · 리스크: 백테스트 진입배수 미달, 기존주주 비율 높음"
2.0,480040,그린모빌리티,코스닥,15D,2026-03-27,보류,D,2026-03-26,2026-03-27,2026-04-03,해제일 종가,0,신호발생,done,1,,2,2026-03-27 10:15:00+09:00,18100,2.0,reclaim_open_or_vwap,2.01,2,0.94,50.0,0.75,0.0388687845303867,"15D 해제 전략 기준 보류 (3.2점) · 백테스트 compound -26.22% · 강점: 승률 양호, 기존주주 비율 양호, 기술 상승추세 · 리스크: 백테스트 진입배수 미달"
2.0,480020,에이아이센서,코스닥,15D,2026-04-18,보류,D,2026-04-17,2026-04-20,2026-04-27,해제일 종가,0,수집대기,queued,1,,0,,,,,,0,,,0.75,0.0388687845303867,"15D 해제 전략 기준 보류 (1.5점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 기존주주 비율 높음"
2.0,480040,그린모빌리티,코스닥,3M,2026-06-10,보류,D,2026-06-09,2026-06-10,2026-07-24,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,"3M 해제 전략 기준 보류 (0.6점) · 백테스트 compound -3.39% · 강점: 기존주주 비율 양호, 기술 상승추세 · 리스크: 백테스트 진입배수 미달"
2.0,480100,리뉴에너지,코스피,15D,2026-04-30,보류,D,2026-04-29,2026-04-30,2026-05-07,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,0.0388687845303867,"15D 해제 전략 기준 보류 (0.4점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,480020,에이아이센서,코스닥,3M,2026-07-02,보류,D,2026-07-01,2026-07-02,2026-08-17,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,"3M 해제 전략 기준 보류 (-0.1점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 기존주주 비율 높음"
2.0,480100,리뉴에너지,코스피,3M,2026-07-14,보류,D,2026-07-13,2026-07-14,2026-08-27,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,"3M 해제 전략 기준 보류 (-0.2점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,480010,뉴웨이브바이오,코스닥,15D,2026-04-23,보류,D,2026-04-22,2026-04-23,2026-04-30,해제일 종가,0,수집대기,queued,1,,0,,,,,,0,,,0.75,0.0388687845303867,"15D 해제 전략 기준 보류 (-1.7점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,480030,클라우드엣지,코스닥,15D,2026-04-15,보류,D,2026-04-14,2026-04-15,2026-04-22,해제일 종가,0,수집중,running,1,,0,,,,,,0,,,0.75,0.0388687845303867,"15D 해제 전략 기준 보류 (-2.6점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호"
2.0,480090,핀테크브릿지,코스닥,15D,2026-05-01,보류,D,2026-04-30,2026-05-01,2026-05-08,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,0.0388687845303867,"15D 해제 전략 기준 보류 (-2.7점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 기존주주 비율 양호"
2.0,480010,뉴웨이브바이오,코스닥,3M,2026-07-07,보류,D,2026-07-06,2026-07-07,2026-08-20,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,"3M 해제 전략 기준 보류 (-3.2점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,480090,핀테크브릿지,코스닥,3M,2026-07-15,보류,D,2026-07-14,2026-07-15,2026-08-28,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,"3M 해제 전략 기준 보류 (-3.3점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 기존주주 비율 양호"
2.0,480030,클라우드엣지,코스닥,3M,2026-06-29,보류,D,2026-06-26,2026-06-29,2026-08-12,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,3M 해제 전략 기준 보류 (-4.2점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호
2.0,480060,오션데이터,코스닥,3M,2026-04-29,보류,D,2026-04-28,2026-04-29,2026-06-12,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,,,"3M 해제 전략 기준 보류 (-24.4점) · 백테스트 compound -3.39% · 강점: 기존주주 비율 양호 · 리스크: 백테스트 진입배수 미달, 기술 약세"
2.0,480040,그린모빌리티,코스닥,1M,2026-04-11,보류,D,2026-04-10,2026-04-13,2026-05-12,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,-0.0185185185185184,"1M 해제 전략 기준 보류 (-35.5점) · 백테스트 compound -93.87% · 강점: 기존주주 비율 양호, 기술 상승추세 · 리스크: 백테스트 진입배수 미달"
2.0,480020,에이아이센서,코스닥,1M,2026-05-03,보류,D,2026-05-01,2026-05-04,2026-06-02,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,-0.0185185185185184,"1M 해제 전략 기준 보류 (-37.2점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 기존주주 비율 높음"
2.0,480100,리뉴에너지,코스피,1M,2026-05-15,보류,D,2026-05-14,2026-05-15,2026-06-15,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,-0.0185185185185184,"1M 해제 전략 기준 보류 (-37.2점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,480010,뉴웨이브바이오,코스닥,1M,2026-05-08,보류,D,2026-05-07,2026-05-08,2026-06-08,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,-0.0185185185185184,"1M 해제 전략 기준 보류 (-40.3점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,480090,핀테크브릿지,코스닥,1M,2026-05-16,보류,D,2026-05-15,2026-05-18,2026-06-16,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,-0.0185185185185184,"1M 해제 전략 기준 보류 (-40.3점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 기존주주 비율 양호"
2.0,480030,클라우드엣지,코스닥,1M,2026-04-30,보류,D,2026-04-29,2026-04-30,2026-05-29,해제일 종가,0,큐미설정,미설정,0,,0,,,,,,0,,,0.75,-0.0185185185185184,1M 해제 전략 기준 보류 (-41.2점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호
