strategy_version,decision,priority_tier,symbol,name,market,unlock_date,planned_check_date,planned_entry_date,planned_exit_date,entry_rule,term,hold_days_after_entry,suggested_weight_pct_of_base,current_vs_offer_pct,technical_signal,combined_score,conviction_score,memo
2.0,관찰강화,A,480070,메디퓨처,코스닥,2026-06-09,2026-06-08,2026-06-09,2026-09-04,해제일 종가,6M,63.0,100,17.08,상승추세,36.55,46.5,"6M 해제 전략 기준 관찰강화 (46.5점) · 백테스트 compound 63.64% · 강점: 해당 term 히스토리컬 우위, 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 백테스트 진입배수 미달"
2.0,보류,D,480050,퀀텀로보틱스,코스피,2026-05-19,2026-05-18,2026-05-19,2026-07-02,해제일 종가,3M,32.0,0,10.62,상승추세,9.95,4.0,"3M 해제 전략 기준 보류 (4.0점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음, 기술 상승추세 · 리스크: 백테스트 진입배수 미달, 기존주주 비율 높음"
2.0,보류,D,480040,그린모빌리티,코스닥,2026-03-27,2026-03-26,2026-03-27,2026-04-03,해제일 종가,15D,5.0,0,19.0,상승추세,3.18,3.2,"15D 해제 전략 기준 보류 (3.2점) · 백테스트 compound -26.22% · 강점: 승률 양호, 기존주주 비율 양호, 기술 상승추세 · 리스크: 백테스트 진입배수 미달"
2.0,보류,D,480020,에이아이센서,코스닥,2026-04-18,2026-04-17,2026-04-20,2026-04-27,해제일 종가,15D,5.0,0,,데이터부족,-4.52,1.5,"15D 해제 전략 기준 보류 (1.5점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 기존주주 비율 높음"
2.0,보류,D,480040,그린모빌리티,코스닥,2026-06-10,2026-06-09,2026-06-10,2026-07-24,해제일 종가,3M,32.0,0,19.0,상승추세,9.59,0.6,"3M 해제 전략 기준 보류 (0.6점) · 백테스트 compound -3.39% · 강점: 기존주주 비율 양호, 기술 상승추세 · 리스크: 백테스트 진입배수 미달"
2.0,보류,D,480100,리뉴에너지,코스피,2026-04-30,2026-04-29,2026-04-30,2026-05-07,해제일 종가,15D,5.0,0,,데이터부족,-4.57,0.4,"15D 해제 전략 기준 보류 (0.4점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,보류,D,480020,에이아이센서,코스닥,2026-07-02,2026-07-01,2026-07-02,2026-08-17,해제일 종가,3M,32.0,0,,데이터부족,1.89,-0.1,"3M 해제 전략 기준 보류 (-0.1점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 기존주주 비율 높음"
2.0,보류,D,480100,리뉴에너지,코스피,2026-07-14,2026-07-13,2026-07-14,2026-08-27,해제일 종가,3M,32.0,0,,데이터부족,1.84,-0.2,"3M 해제 전략 기준 보류 (-0.2점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,보류,D,480010,뉴웨이브바이오,코스닥,2026-04-23,2026-04-22,2026-04-23,2026-04-30,해제일 종가,15D,5.0,0,,데이터부족,-4.66,-1.7,"15D 해제 전략 기준 보류 (-1.7점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,보류,D,480030,클라우드엣지,코스닥,2026-04-15,2026-04-14,2026-04-15,2026-04-22,해제일 종가,15D,5.0,0,,데이터부족,-4.59,-2.6,"15D 해제 전략 기준 보류 (-2.6점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호"
2.0,보류,D,480090,핀테크브릿지,코스닥,2026-05-01,2026-04-30,2026-05-01,2026-05-08,해제일 종가,15D,5.0,0,,데이터부족,-4.68,-2.7,"15D 해제 전략 기준 보류 (-2.7점) · 백테스트 compound -26.22% · 강점: 승률 양호, 확약 비율 양호, 기존주주 비율 양호"
2.0,보류,D,480010,뉴웨이브바이오,코스닥,2026-07-07,2026-07-06,2026-07-07,2026-08-20,해제일 종가,3M,32.0,0,,데이터부족,1.75,-3.2,"3M 해제 전략 기준 보류 (-3.2점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,보류,D,480090,핀테크브릿지,코스닥,2026-07-15,2026-07-14,2026-07-15,2026-08-28,해제일 종가,3M,32.0,0,,데이터부족,1.73,-3.3,"3M 해제 전략 기준 보류 (-3.3점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호, 기존주주 비율 양호"
2.0,보류,D,480030,클라우드엣지,코스닥,2026-06-29,2026-06-26,2026-06-29,2026-08-12,해제일 종가,3M,32.0,0,,데이터부족,1.82,-4.2,3M 해제 전략 기준 보류 (-4.2점) · 백테스트 compound -3.39% · 강점: 확약 비율 양호
2.0,보류,D,480060,오션데이터,코스닥,2026-04-29,2026-04-28,2026-04-29,2026-06-12,해제일 종가,3M,32.0,0,-12.55,약세추세,-4.4,-24.4,"3M 해제 전략 기준 보류 (-24.4점) · 백테스트 compound -3.39% · 강점: 기존주주 비율 양호 · 리스크: 백테스트 진입배수 미달, 기술 약세"
2.0,보류,D,480040,그린모빌리티,코스닥,2026-04-11,2026-04-10,2026-04-13,2026-05-12,해제일 종가,1M,21.0,0,19.0,상승추세,-27.48,-35.5,"1M 해제 전략 기준 보류 (-35.5점) · 백테스트 compound -93.87% · 강점: 기존주주 비율 양호, 기술 상승추세 · 리스크: 백테스트 진입배수 미달"
2.0,보류,D,480020,에이아이센서,코스닥,2026-05-03,2026-05-01,2026-05-04,2026-06-02,해제일 종가,1M,21.0,0,,데이터부족,-35.18,-37.2,"1M 해제 전략 기준 보류 (-37.2점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음 · 리스크: 기존주주 비율 높음"
2.0,보류,D,480100,리뉴에너지,코스피,2026-05-15,2026-05-14,2026-05-15,2026-06-15,해제일 종가,1M,21.0,0,,데이터부족,-35.23,-37.2,"1M 해제 전략 기준 보류 (-37.2점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,보류,D,480010,뉴웨이브바이오,코스닥,2026-05-08,2026-05-07,2026-05-08,2026-06-08,해제일 종가,1M,21.0,0,,데이터부족,-35.32,-40.3,"1M 해제 전략 기준 보류 (-40.3점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 상장 유통물량 부담 낮음"
2.0,보류,D,480090,핀테크브릿지,코스닥,2026-05-16,2026-05-15,2026-05-18,2026-06-16,해제일 종가,1M,21.0,0,,데이터부족,-35.34,-40.3,"1M 해제 전략 기준 보류 (-40.3점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호, 기존주주 비율 양호"
2.0,보류,D,480030,클라우드엣지,코스닥,2026-04-30,2026-04-29,2026-04-30,2026-05-29,해제일 종가,1M,21.0,0,,데이터부족,-35.25,-41.2,1M 해제 전략 기준 보류 (-41.2점) · 백테스트 compound -93.87% · 강점: 확약 비율 양호
