name_key,name,ipo_price,listing_date,source_kinds
알체라,알체라,10000.0,2020-12-21,"new_listing,subscription"
엔에이치스팩18호,엔에이치스팩18호,2000.0,2020-12-21,"new_listing,subscription"
프리시젼바이오,프리시젼바이오,12500.0,2020-12-22,"new_listing,subscription"
대신밸런스스팩9호,대신밸런스스팩9호,2000.0,2020-12-23,"new_listing,subscription"
석경에이티,석경에이티,10000.0,2020-12-23,"new_listing,subscription"
이에스알켄달스퀘어리츠,이에스알켄달스퀘어리츠(유가),5000.0,2020-12-23,"new_listing,subscription"
지놈앤컴퍼니,지놈앤컴퍼니,40000.0,2020-12-23,"new_listing,subscription"
엔비티,엔비티,19000.0,2021-01-21,"new_listing,subscription"
한국스팩9호,한국스팩9호,2000.0,2021-01-21,"new_listing,subscription"
선진뷰티사이언스,선진뷰티사이언스,11500.0,2021-01-27,"new_listing,subscription"
모비릭스,모비릭스,14000.0,2021-01-28,"new_listing,subscription"
씨앤투스성진,씨앤투스성진,32000.0,2021-01-28,"new_listing,subscription"
핑거,핑거,16000.0,2021-01-29,"new_listing,subscription"
솔루엠,솔루엠(유가),17000.0,2021-02-02,"new_listing,subscription"
레인보우로보틱스,레인보우로보틱스,10000.0,2021-02-03,"new_listing,subscription"
와이더플래닛,와이더플래닛,16000.0,2021-02-03,"new_listing,subscription"
신한스팩7호,신한스팩7호,2000.0,2021-02-04,"new_listing,subscription"
아이퀘스트,아이퀘스트,11000.0,2021-02-05,"new_listing,subscription"
프레스티지바이오파마,프레스티지바이오파마(유가),32000.0,2021-02-05,"new_listing,subscription"
하나금융스팩17호,하나금융스팩17호,2000.0,2021-02-10,"new_listing,subscription"
피엔에이치테크,피엔에이치테크,18000.0,2021-02-16,"new_listing,subscription"
씨이랩,씨이랩,35000.0,2021-02-24,"new_listing,subscription"
오로스테크놀로지,오로스테크놀로지,21000.0,2021-02-24,"new_listing,subscription"
유일에너테크,유일에너테크,16000.0,2021-02-25,"new_listing,subscription"
ibks스팩15호,IBKS스팩15호,2000.0,2021-02-26,"new_listing,subscription"
뷰노,뷰노,21000.0,2021-02-26,"new_listing,subscription"
하나머스트스팩7호,하나머스트스팩7호,2000.0,2021-03-05,"new_listing,subscription"
나노씨엠에스,나노씨엠에스,20000.0,2021-03-09,"new_listing,subscription"
싸이버원,싸이버원,9500.0,2021-03-11,"new_listing,subscription"
프레스티지바이오로직스,프레스티지바이오로직스,12400.0,2021-03-11,"new_listing,subscription"
네오이뮨텍,네오이뮨텍,7500.0,2021-03-16,"new_listing,subscription"
디비금융스팩9호,디비금융스팩9호,2000.0,2021-03-16,"new_listing,subscription"
바이오다인,바이오다인,30000.0,2021-03-17,"new_listing,subscription"
sk바이오사이언스,SK바이오사이언스(유가),65000.0,2021-03-18,"new_listing,subscription"
라이프시맨틱스,라이프시맨틱스,12500.0,2021-03-23,"new_listing,subscription"
자이언트스텝,자이언트스텝,11000.0,2021-03-24,"new_listing,subscription"
제노코,제노코,36000.0,2021-03-24,"new_listing,subscription"
엔시스,엔시스,19000.0,2021-04-01,"new_listing,subscription"
유안타스팩8호,유안타스팩8호,2000.0,2021-04-05,"new_listing,subscription"
유진스팩6호,유진스팩6호,2000.0,2021-04-08,"new_listing,subscription"
이삭엔지니어링,이삭엔지니어링,11500.0,2021-04-21,"new_listing,subscription"
해성티피씨,해성티피씨,13000.0,2021-04-21,"new_listing,subscription"
쿠콘,쿠콘,45000.0,2021-04-28,"new_listing,subscription"
하이스팩6호,하이스팩6호,2000.0,2021-05-10,"new_listing,subscription"
sk아이이테크놀로지,SK아이이테크놀로지(유가),105000.0,2021-05-11,"new_listing,subscription"
에이치피오,에이치피오,22200.0,2021-05-14,"new_listing,subscription"
씨앤씨인터내셔널,씨앤씨인터내셔널,47500.0,2021-05-17,"new_listing,subscription"
샘씨엔에스,샘씨엔에스,6500.0,2021-05-20,"new_listing,subscription"
nh스팩19호,NH스팩19호(유가),2000.0,2021-05-21,"new_listing,subscription"
삼성스팩4호,삼성스팩4호,2000.0,2021-05-21,"new_listing,subscription"
삼영에스앤씨,삼영에스앤씨,11000.0,2021-05-21,"new_listing,subscription"
제주맥주,제주맥주,3200.0,2021-05-26,"new_listing,subscription"
진시스템,진시스템,20000.0,2021-05-26,"new_listing,subscription"
에이디엠코리아,에이디엠코리아,3800.0,2021-06-03,"new_listing,subscription"
엘비루셈,엘비루셈,14000.0,2021-06-11,"new_listing,subscription"
라온테크,라온테크,18000.0,2021-06-17,"new_listing,subscription"
삼성머스트스팩5호,삼성머스트스팩5호,2000.0,2021-06-17,"new_listing,subscription"
이노뎁,이노뎁,18000.0,2021-06-18,"new_listing,subscription"
아모센스,아모센스,12400.0,2021-06-25,"new_listing,subscription"
에스디바이오센서,에스디바이오센서(유가),52000.0,2021-07-16,"new_listing,subscription"
큐라클,큐라클,25000.0,2021-07-22,"new_listing,subscription"
맥스트,맥스트,15000.0,2021-07-27,"new_listing,subscription"
에브리봇,에브리봇,36700.0,2021-07-28,"new_listing,subscription"
한화플러스스팩2호,한화플러스스팩2호,2000.0,2021-08-05,"new_listing,subscription"
카카오뱅크,카카오뱅크(유가),39000.0,2021-08-06,"new_listing,subscription"
에이치케이이노엔,에이치케이이노엔,59000.0,2021-08-09,"new_listing,subscription"
크래프톤,크래프톤(유가),498000.0,2021-08-10,"new_listing,subscription"
원티드랩,원티드랩,35000.0,2021-08-11,"new_listing,subscription"
플래티어,플래티어,11000.0,2021-08-12,"new_listing,subscription"
엠로,엠로,22600.0,2021-08-13,"new_listing,subscription"
딥노이드,딥노이드,42000.0,2021-08-17,"new_listing,subscription"
한컴라이프케어,한컴라이프케어(유가),13700.0,2021-08-17,"new_listing,subscription"
롯데렌탈,롯데렌탈(유가),59000.0,2021-08-19,"new_listing,subscription"
브레인즈컴퍼니,브레인즈컴퍼니,25000.0,2021-08-19,"new_listing,subscription"
아주스틸,아주스틸(유가),15100.0,2021-08-20,"new_listing,subscription"
바이젠셀,바이젠셀,52700.0,2021-08-25,"new_listing,subscription"
디앤디플랫폼리츠,디앤디플랫폼리츠,5000.0,2021-08-27,"new_listing,subscription"
일진하이솔루스,일진하이솔루스(유가),34300.0,2021-09-01,"new_listing,subscription"
ibks스팩16호,IBKS스팩16호,2000.0,2021-09-03,"new_listing,subscription"
에이비온,에이비온,17000.0,2021-09-08,"new_listing,subscription"
와이엠텍,와이엠텍,28000.0,2021-09-10,"new_listing,subscription"
유진스팩7호,유진스팩7호,2000.0,2021-09-13,"new_listing,subscription"
sk리츠,SK리츠(유가),5000.0,2021-09-14,"new_listing,subscription"
대신밸런스스팩10호,대신밸런스스팩10호,2000.0,2021-09-17,"new_listing,subscription"
현대중공업,현대중공업(유가),60000.0,2021-09-17,"new_listing,subscription"
바이오플러스,바이오플러스,31500.0,2021-09-27,"new_listing,subscription"
신한스팩8호,신한스팩8호,2000.0,2021-09-27,"new_listing,subscription"
프롬바이오,프롬바이오,18000.0,2021-09-28,"new_listing,subscription"
실리콘투,실리콘투,27200.0,2021-09-29,"new_listing,subscription"
에스앤디,에스앤디,28000.0,2021-09-29,"new_listing,subscription"
nh스팩20호,NH스팩20호,2000.0,2021-10-05,"new_listing,subscription"
아스플로,아스플로,25000.0,2021-10-07,"new_listing,subscription"
원준,원준,65000.0,2021-10-07,"new_listing,subscription"
하나금융스팩19호,하나금융스팩19호,2000.0,2021-10-07,"new_listing,subscription"
씨유테크,씨유테크,6000.0,2021-10-08,"new_listing,subscription"
케이카,케이카(유가),25000.0,2021-10-13,"new_listing,subscription"
nh스팩21호,NH스팩21호,2000.0,2021-10-15,"new_listing,subscription"
지아이텍,지아이텍,14000.0,2021-10-21,"new_listing,subscription"
차백신연구소,차백신연구소,11000.0,2021-10-22,"new_listing,subscription"
아이패밀리에스씨,아이패밀리에스씨,25000.0,2021-10-28,"new_listing,subscription"
리파인,리파인,21000.0,2021-10-29,"new_listing,subscription"
지앤비에스엔지니어링,지앤비에스엔지니어링,17400.0,2021-10-29,"new_listing,subscription"
엔켐,엔켐,42000.0,2021-11-01,"new_listing,subscription"
카카오페이,카카오페이(유가),90000.0,2021-11-03,"new_listing,subscription"
피코그램,피코그램,12500.0,2021-11-03,"new_listing,subscription"
지니너스,지니너스,20000.0,2021-11-08,"new_listing,subscription"
디어유,디어유,26000.0,2021-11-10,"new_listing,subscription"
비트나인,비트나인,11000.0,2021-11-10,"new_listing,subscription"
아이티아이즈,아이티아이즈,14300.0,2021-11-11,"new_listing,subscription"
지오엘리먼트,지오엘리먼트,10000.0,2021-11-11,"new_listing,subscription"
트윔,트윔,22000.0,2021-11-17,"new_listing,subscription"
nh올원리츠,NH올원리츠(유가),5000.0,2021-11-18,"new_listing,subscription"
바이옵트로,바이옵트로,7500.0,2021-11-18,"new_listing,subscription"
알비더블유,알비더블유,21400.0,2021-11-22,"new_listing,subscription"
마인즈랩,마인즈랩,30000.0,2021-11-23,"new_listing,subscription"
대신밸런스스팩11호,대신밸런스스팩11호,2000.0,2021-12-02,"new_listing,subscription"
미래에셋글로벌리츠,미래에셋글로벌리츠(유가),5000.0,2021-12-03,"new_listing,subscription"
신한서부티엔디리츠,신한서부티엔디리츠(유가),5000.0,2021-12-10,"new_listing,subscription"
툴젠,툴젠,70000.0,2021-12-10,"new_listing,subscription"
케이티비네트워크,케이티비네트워크,5800.0,2021-12-16,"new_listing,subscription"
교보스팩11호,교보스팩11호,2000.0,2021-12-20,"new_listing,subscription"
하이스팩7호,하이스팩7호,2000.0,2021-12-20,"new_listing,subscription"
nh스팩22호,NH스팩22호,2000.0,2021-12-24,"new_listing,subscription"
하나금융스팩20호,하나금융스팩20호,2000.0,2021-12-27,"new_listing,subscription"
래몽래인,래몽래인,15000.0,2021-12-30,"new_listing,subscription"
디비금융스팩10호,디비금융스팩10호,2000.0,2022-01-20,"new_listing,subscription"
오토앤,오토앤,5300.0,2022-01-20,"new_listing,subscription"
애드바이오텍,애드바이오텍,7000.0,2022-01-24,"new_listing,subscription"
케이옥션,케이옥션,20000.0,2022-01-24,"new_listing,subscription"
lg에너지솔루션,LG에너지솔루션(유가),300000.0,2022-01-27,"new_listing,subscription"
스코넥,스코넥,13000.0,2022-02-04,"new_listing,subscription"
이지트로닉스,이지트로닉스,22000.0,2022-02-04,"new_listing,subscription"
아셈스,아셈스,8000.0,2022-02-07,"new_listing,subscription"
나래나노텍,나래나노텍,17500.0,2022-02-08,"new_listing,subscription"
인카금융서비스,인카금융서비스,18000.0,2022-02-16,"new_listing,subscription"
ibks스팩17호,IBKS스팩17호,2000.0,2022-02-18,"new_listing,subscription"
바이오에프디엔씨,바이오에프디엔씨,28000.0,2022-02-21,"new_listing,subscription"
한국스팩10호,한국스팩10호,2000.0,2022-02-21,"new_listing,subscription"
퓨런티어,퓨런티어,15000.0,2022-02-23,"new_listing,subscription"
브이씨,브이씨,15000.0,2022-02-24,"new_listing,subscription"
스톤브릿지벤처스,스톤브릿지벤처스,8000.0,2022-02-25,"new_listing,subscription"
하나금융스팩21호,하나금융스팩21호,2000.0,2022-02-25,"new_listing,subscription"
풍원정밀,풍원정밀,15200.0,2022-02-28,"new_listing,subscription"
노을,노을,10000.0,2022-03-03,"new_listing,subscription"
비씨엔씨,비씨엔씨,13000.0,2022-03-03,"new_listing,subscription"
sk증권스팩7호,SK증권스팩7호,2000.0,2022-03-07,"new_listing,subscription"
모아데이타,모아데이타,20000.0,2022-03-10,"new_listing,subscription"
유일로보틱스,유일로보틱스,10000.0,2022-03-18,"new_listing,subscription"
공구우먼,공구우먼,20000.0,2022-03-23,"new_listing,subscription"
세아메카닉스,세아메카닉스,4400.0,2022-03-24,"new_listing,subscription"
코람코더원리츠,코람코더원리츠(유가),5000.0,2022-03-28,"new_listing,subscription"
유진스팩8호,유진스팩8호,2000.0,2022-03-31,"new_listing,subscription"
지투파워,지투파워,16400.0,2022-04-01,"new_listing,subscription"
키움스팩6호,키움스팩6호,2000.0,2022-04-07,"new_listing,subscription"
미래에셋비전스팩1호,미래에셋비전스팩1호,2000.0,2022-04-21,"new_listing,subscription"
신한스팩9호,신한스팩9호,2000.0,2022-04-27,"new_listing,subscription"
신영스팩7호,신영스팩7호,2000.0,2022-04-28,"new_listing,subscription"
포바이포,포바이포,17000.0,2022-04-28,"new_listing,subscription"
상상인스팩3호,상상인스팩3호,2000.0,2022-04-29,"new_listing,subscription"
대명에너지,대명에너지,15000.0,2022-05-16,"new_listing,subscription"
가온칩스,가온칩스,14000.0,2022-05-20,"new_listing,subscription"
하나금융스팩22호,하나금융스팩22호,2000.0,2022-05-26,"new_listing,subscription"
마스턴프리미어리츠,마스턴프리미어리츠(유가),5000.0,2022-05-31,"new_listing,subscription"
청담글로벌,청담글로벌,6000.0,2022-06-03,"new_listing,subscription"
범한퓨얼셀,범한퓨얼셀,40000.0,2022-06-17,"new_listing,subscription"
비플라이소프트,비플라이소프트,10000.0,2022-06-20,"new_listing,subscription"
kb스팩21호,KB스팩21호,2000.0,2022-06-23,"new_listing,subscription"
위니아에이드,위니아에이드,16200.0,2022-06-23,"new_listing,subscription"
교보스팩12호,교보스팩12호,2000.0,2022-06-24,"new_listing,subscription"
레이저쎌,레이저쎌,16000.0,2022-06-24,"new_listing,subscription"
보로노이,보로노이,40000.0,2022-06-24,"new_listing,subscription"
nh스팩23호,NH스팩23호,2000.0,2022-06-28,"new_listing,subscription"
삼성스팩6호,삼성스팩6호,2000.0,2022-06-30,"new_listing,subscription"
넥스트칩,넥스트칩,13000.0,2022-07-01,"new_listing,subscription"
코난테크놀로지,코난테크놀로지,25000.0,2022-07-07,"new_listing,subscription"
대신밸런스12호스팩,대신밸런스12호스팩,2000.0,2022-07-14,"new_listing,subscription"
영창케미칼,영창케미칼,18600.0,2022-07-14,"new_listing,subscription"
에이치피에스피,에이치피에스피,25000.0,2022-07-15,"new_listing,subscription"
루닛,루닛,30000.0,2022-07-21,"new_listing,subscription"
ibks스팩18호,IBKS스팩18호,2000.0,2022-07-22,"new_listing,subscription"
성일하이텍,성일하이텍,50000.0,2022-07-28,"new_listing,subscription"
에이프릴바이오,에이프릴바이오,16000.0,2022-07-28,"new_listing,subscription"
신한스팩10호,신한스팩10호,2000.0,2022-07-29,"new_listing,subscription"
아이씨에이치,아이씨에이치,34000.0,2022-07-29,"new_listing,subscription"
수산인더스트리,수산인더스트리(유가),35000.0,2022-08-01,"new_listing,subscription"
새빗켐,새빗켐,35000.0,2022-08-04,"new_listing,subscription"
유안타스팩9호,유안타스팩9호,2000.0,2022-08-04,"new_listing,subscription"
에이치와이티씨,에이치와이티씨,15000.0,2022-08-09,"new_listing,subscription"
대성하이텍,대성하이텍,9000.0,2022-08-22,"new_listing,subscription"
쏘카,쏘카(유가),28000.0,2022-08-22,"new_listing,subscription"
ibks스팩19호,IBKS스팩19호,2000.0,2022-08-26,"new_listing,subscription"
신영스팩8호,신영스팩8호,2000.0,2022-08-26,"new_listing,subscription"
키움스팩7호,키움스팩7호,2000.0,2022-09-07,"new_listing,subscription"
하나금융스팩23호,하나금융스팩23호,2000.0,2022-09-15,"new_listing,subscription"
kb스팩22호,KB스팩22호,2000.0,2022-09-22,"new_listing,subscription"
오픈엣지테크놀로지,오픈엣지테크놀로지,10000.0,2022-09-26,"new_listing,subscription"
알피바이오,알피바이오,13000.0,2022-09-29,"new_listing,subscription"
하나금융스팩24호,하나금융스팩24호,2000.0,2022-09-29,"new_listing,subscription"
한화플러스스팩3호,한화플러스스팩3호,2000.0,2022-09-29,"new_listing,subscription"
더블유씨피,더블유씨피,60000.0,2022-09-30,"new_listing,subscription"
선바이오,선바이오,11000.0,2022-10-05,"new_listing,subscription"
kb스타리츠,KB스타리츠(유가),5000.0,2022-10-06,"new_listing,subscription"
sk증권스팩8호,SK증권스팩8호,2000.0,2022-10-06,"new_listing,subscription"
유안타스팩10호,유안타스팩10호,2000.0,2022-10-06,"new_listing,subscription"
모델솔루션,모델솔루션,27000.0,2022-10-07,"new_listing,subscription"
이노룰스,이노룰스,12500.0,2022-10-07,"new_listing,subscription"
오에스피,오에스피,8400.0,2022-10-14,"new_listing,subscription"
에스비비테크,에스비비테크,12400.0,2022-10-17,"new_listing,subscription"
탑머티리얼,탑머티리얼,30000.0,2022-10-18,"new_listing,subscription"
샤페론,샤페론,5000.0,2022-10-19,"new_listing,subscription"
nh스팩24호,NH스팩24호,2000.0,2022-10-20,"new_listing,subscription"
핀텔,핀텔,8900.0,2022-10-20,"new_listing,subscription"
하나금융스팩25호,하나금융스팩25호,10000.0,2022-10-20,"new_listing,subscription"
한국스팩11호,한국스팩11호,2000.0,2022-10-20,"new_listing,subscription"
플라즈맵,플라즈맵,7000.0,2022-10-21,"new_listing,subscription"
삼성스팩7호,삼성스팩7호,10000.0,2022-10-26,"new_listing,subscription"
산돌,산돌,18800.0,2022-10-27,"new_listing,subscription"
ibks스팩20호,IBKS스팩20호,2000.0,2022-10-28,"new_listing,subscription"
저스템,저스템,10500.0,2022-10-28,"new_listing,subscription"
교보스팩13호,교보스팩13호,2000.0,2022-11-02,"new_listing,subscription"
큐알티,큐알티,44000.0,2022-11-02,"new_listing,subscription"
kb스팩23호,KB스팩23호,2000.0,2022-11-03,"new_listing,subscription"
nh스팩25호,NH스팩25호,2000.0,2022-11-03,"new_listing,subscription"
뉴로메카,뉴로메카,16900.0,2022-11-04,"new_listing,subscription"
제이아이테크,제이아이테크,16000.0,2022-11-04,"new_listing,subscription"
디티앤씨알오,디티앤씨알오,17000.0,2022-11-11,"new_listing,subscription"
윤성에프앤씨,윤성에프앤씨,49000.0,2022-11-14,"new_listing,subscription"
티쓰리엔터테인먼트,티쓰리엔터테인먼트,1700.0,2022-11-17,"new_listing,subscription"
티에프이,티에프이,10500.0,2022-11-17,"new_listing,subscription"
엔젯,엔젯,10000.0,2022-11-18,"new_listing,subscription"
유비온,유비온,2000.0,2022-11-18,"new_listing,subscription"
인벤티지랩,인벤티지랩,12000.0,2022-11-22,"new_listing,subscription"
펨트론,펨트론,8000.0,2022-11-24,"new_listing,subscription"
대신밸런스스팩13호,대신밸런스스팩13호,2000.0,2022-11-28,"new_listing,subscription"
nh스팩26호,NH스팩26호,2000.0,2022-12-01,"new_listing,subscription"
유진스팩9호,유진스팩9호,2000.0,2022-12-01,"new_listing,subscription"
대신밸런스스팩14호,대신밸런스스팩14호,2000.0,2022-12-05,"new_listing,subscription"
에스에이엠지엔터테인먼트,에스에이엠지엔터테인먼트,17000.0,2022-12-06,"new_listing,subscription"
ibks스팩21호,IBKS스팩21호,2000.0,2022-12-16,"new_listing,subscription"
nh스팩27호,NH스팩27호,2000.0,2022-12-16,"new_listing,subscription"
바이오노트,바이오노트(유가),9000.0,2022-12-22,"new_listing,subscription"
비엔케이스팩1호,비엔케이스팩1호,2000.0,2022-12-22,"new_listing,subscription"
신영스팩9호,신영스팩9호,2000.0,2022-12-27,"new_listing,subscription"
티이엠씨,티이엠씨,28000.0,2023-01-19,"new_listing,subscription"
한주라이트메탈,한주라이트메탈(구.한주금속),3100.0,2023-01-19,"new_listing,subscription"
미래반도체,미래반도체,6000.0,2023-01-27,"new_listing,subscription"
오브젠,오브젠,18000.0,2023-01-30,"new_listing,subscription"
삼기이브이,삼기이브이,11000.0,2023-02-03,"new_listing,subscription"
스튜디오미르,스튜디오미르,19500.0,2023-02-07,"new_listing,subscription"
꿈비,꿈비,5000.0,2023-02-09,"new_listing,subscription"
샌즈랩,샌즈랩,10500.0,2023-02-15,"new_listing,subscription"
제이오,제이오,13000.0,2023-02-16,"new_listing,subscription"
이노진,이노진,3000.0,2023-02-20,"new_listing,subscription"
미래에셋비전스팩2호,미래에셋비전스팩2호,2000.0,2023-02-24,"new_listing,subscription"
유안타스팩13호,유안타스팩13호,2000.0,2023-02-28,"new_listing,subscription"
바이오인프라,바이오인프라,21000.0,2023-03-02,"new_listing,subscription"
삼성스팩8호,삼성스팩8호,10000.0,2023-03-02,"new_listing,subscription"
나노팀,나노팀,13000.0,2023-03-03,"new_listing,subscription"
자람테크놀로지,자람테크놀로지,22000.0,2023-03-07,"new_listing,subscription"
