name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares
지아이이노베이션,지아이이노베이션,358570,2023-03-30,,코스닥,,
한화갤러리아,한화갤러리아,452260,2023-03-31,,미상,,
삼성FN리츠,삼성fn리츠,448730,2023-04-10,,미상,,
현대그린푸드,현대그린푸드,453340,2023-04-10,,미상,,
SK오션플랜트,sk오션플랜트,100090,2023-04-19,,미상,,
셀바이오휴먼텍,셀바이오휴먼텍,318160,2023-04-20,,코스닥,,
마이크로투나노,마이크로투나노,424980,2023-04-26,,코스닥,,
토마토시스템,토마토시스템,393210,2023-04-27,,코스닥,,
슈어소프트테크,슈어소프트테크,298830,2023-04-28,,코스닥,,
에스바이오메딕스,에스바이오메딕스,304360,2023-05-04,,코스닥,,
지슨,지슨,446840,2023-05-17,,코스닥,,
트루엔,트루엔,417790,2023-05-17,,코스닥,,
큐라켐,큐라켐,456190,2023-05-18,,코넥스,,
모니터랩,모니터랩,434480,2023-05-19,,코스닥,,
시선AI,시선ai,340810,2023-05-19,,코스닥,,
팸텍,팸텍,271830,2023-05-23,,코스닥,,
기가비스,기가비스,420770,2023-05-24,,코스닥,,
OCI,oci,456040,2023-05-30,,미상,,
이수스페셜티케미컬,이수스페셜티케미컬,457190,2023-05-31,,미상,,
진영,진영,285800,2023-06-01,,코스닥,,
나라셀라,나라셀라,405920,2023-06-02,,코스닥,,
마녀공장,마녀공장,439090,2023-06-08,,코스닥,,
큐라티스,큐라티스,348080,2023-06-15,,코스닥,,
동국씨엠,동국씨엠,460850,2023-06-16,,미상,,
동국제강,동국제강,460860,2023-06-16,,미상,,
프로티아,프로티아,303360,2023-06-16,,코스닥,,
가이아코퍼레이션,가이아코퍼레이션,296520,2023-06-20,,코넥스,,
비에이치,비에이치,090460,2023-06-20,,미상,,
엔에이치스팩29호,엔에이치스팩29호,451700,2023-06-23,,코스닥,,
아이티센피엔에스,아이티센피엔에스,232830,2023-06-29,,코스닥,,
알멕,알멕,354320,2023-06-30,50000.0,코스닥,,
오픈놀,오픈놀,440320,2023-06-30,,코스닥,,
이노시뮬레이션,이노시뮬레이션,274400,2023-07-06,15000.0,코스닥,,
필에너지,필에너지,378340,2023-07-14,34000.0,코스닥,,
센서뷰,센서뷰,321370,2023-07-19,4500.0,코스닥,,
아이엠지티,아이엠지티,456570,2023-07-19,,코넥스,,
와이랩,와이랩,432430,2023-07-20,9000.0,코스닥,,
뷰티스킨,뷰티스킨,406820,2023-07-24,26000.0,코스닥,,
버넥트,버넥트,438700,2023-07-26,16000.0,코스닥,,
에이엘티,에이엘티,172670,2023-07-27,25000.0,코스닥,,
파로스아이바이오,파로스아이바이오,388870,2023-07-27,14000.0,코스닥,,
조선내화,조선내화,462520,2023-07-28,,미상,,
에피바이오텍,에피바이오텍,446440,2023-07-31,,코넥스,,
시지트로닉스,시지트로닉스,429270,2023-08-03,25000.0,코스닥,,
엠아이큐브솔루션,엠아이큐브솔루션,373170,2023-08-04,12000.0,코스닥,,
파두,파두,440110,2023-08-07,31000.0,코스닥,,
NICE평가정보,nice평가정보,030190,2023-08-08,,미상,,
코츠테크놀로지,코츠테크놀로지,448710,2023-08-10,13000.0,코스닥,,
큐리옥스바이오시스템즈,큐리옥스바이오시스템즈,445680,2023-08-10,13000.0,코스닥,,
캔버스엔,캔버스엔,210120,2023-08-17,,코스닥,,
넥스틸,넥스틸,092790,2023-08-21,,미상,,
스마트레이더시스템,스마트레이더시스템,424960,2023-08-22,8000.0,코스닥,,
시큐레터,시큐레터,418250,2023-08-24,12000.0,코스닥,,
한국제12호스팩,한국제12호스팩,458610,2023-08-30,,코스닥,,
크라우드웍스,크라우드웍스,355390,2023-08-31,,코스닥,,
유안타제11호스팩,유안타제11호스팩,444920,2023-09-01,,코스닥,,
대신밸런스제16호스팩,대신밸런스제16호스팩,457630,2023-09-04,,코스닥,,
한화플러스제4호스팩,한화플러스제4호스팩,455310,2023-09-07,,코스닥,,
율촌,율촌,146060,2023-09-08,,코스닥,,
상상인제4호스팩,상상인제4호스팩,452670,2023-09-14,,코스닥,,
STX그린로지스,stx그린로지스,465770,2023-09-15,,미상,,
코어라인소프트,코어라인소프트,384470,2023-09-18,,코스닥,,
우듬지팜,우듬지팜,403490,2023-09-19,,코스닥,,
인스웨이브,인스웨이브,450520,2023-09-25,,코스닥,,
KT밀리의서재,kt밀리의서재,418470,2023-09-27,,코스닥,,
신한제11호스팩,신한제11호스팩,452980,2023-10-04,,코스닥,,
한싹,한싹,430690,2023-10-04,12500.0,코스닥,,
두산로보틱스,두산로보틱스,454910,2023-10-05,,미상,,
레뷰코퍼레이션,레뷰코퍼레이션,443250,2023-10-06,15000.0,코스닥,,
아이엠티,아이엠티,451220,2023-10-10,14000.0,코스닥,,
바이오텐,바이오텐,289170,2023-10-13,,코넥스,,
에이치엠씨제6호스팩,에이치엠씨제6호스팩,462020,2023-10-13,,코스닥,,
퓨릿,퓨릿,445180,2023-10-18,10700.0,코스닥,,
신성에스티,신성에스티,416180,2023-10-19,26000.0,코스닥,,
에스엘에스바이오,에스엘에스바이오,246250,2023-10-20,7000.0,코스닥,,
미쥬,미쥬,351020,2023-10-26,,코넥스,,
워트,워트,396470,2023-10-26,6500.0,코스닥,,
퀄리타스반도체,퀄리타스반도체,432720,2023-10-27,17000.0,코스닥,,
유진테크놀로지,유진테크놀로지,240600,2023-11-02,17000.0,코스닥,,
유투바이오,유투바이오,221800,2023-11-02,4400.0,코스닥,,
KB제27호스팩,kb제27호스팩,464680,2023-11-03,,코스닥,,
세니젠,세니젠,188260,2023-11-03,,코스닥,,
파라택시스이더리움,파라택시스이더리움,290560,2023-11-03,,코스닥,,
쏘닉스,쏘닉스,088280,2023-11-07,7500.0,코스닥,,
메가터치,메가터치,446540,2023-11-09,4800.0,코스닥,,
비아이매트릭스,비아이매트릭스,413640,2023-11-09,13000.0,코스닥,,
컨텍,컨텍,451760,2023-11-09,22500.0,코스닥,,
큐로셀,큐로셀,372320,2023-11-09,20000.0,코스닥,,
에스와이스틸텍,에스와이스틸텍,365330,2023-11-13,1800.0,코스닥,,
에이직랜드,에이직랜드,445090,2023-11-13,25000.0,코스닥,,
한국제13호스팩,한국제13호스팩,464440,2023-11-13,,코스닥,,
캡스톤파트너스,캡스톤파트너스,452300,2023-11-15,4000.0,코스닥,,
프로젠,프로젠,296160,2023-11-15,,코넥스,,
에코프로머티,에코프로머티,450080,2023-11-17,,미상,,
스톰테크,스톰테크,352090,2023-11-20,11000.0,코스닥,,
동인기연,동인기연,111380,2023-11-21,,미상,,
에코아이,에코아이,448280,2023-11-21,34700.0,코스닥,,
그린리소스,그린리소스,402490,2023-11-24,17000.0,코스닥,,
제이엔비,제이엔비,452160,2023-11-24,,코스닥,,
한선엔지니어링,한선엔지니어링,452280,2023-11-24,7000.0,코스닥,,
에이에스텍,에이에스텍,453860,2023-11-28,28000.0,코스닥,,
에이텀,에이텀,355690,2023-12-01,18000.0,코스닥,,
엔에이치스팩30호,엔에이치스팩30호,466910,2023-12-01,,코스닥,,
교보15호스팩,교보15호스팩,465320,2023-12-05,,코스닥,,
와이바이오로직스,와이바이오로직스,338840,2023-12-05,9000.0,코스닥,,
케이엔에스,케이엔에스,432470,2023-12-06,23000.0,코스닥,,
LS머트리얼즈,ls머트리얼즈,417200,2023-12-12,,코스닥,,
블루엠텍,블루엠텍,439580,2023-12-13,19000.0,코스닥,,
씨싸이트,씨싸이트,109670,2023-12-21,,코스닥,,
DS단석,ds단석,017860,2023-12-22,,미상,,
IBKS제23호스팩,ibks제23호스팩,467930,2023-12-22,,코스닥,,
하나30호스팩,하나30호스팩,469880,2023-12-22,,코스닥,,
포스코DX,포스코dx,022100,2024-01-02,,미상,,
한빛레이저,한빛레이저,452190,2024-01-04,,코스닥,,
세븐브로이맥주,세븐브로이맥주,267080,2024-01-17,,코넥스,,
대신밸런스제17호스팩,대신밸런스제17호스팩,471050,2024-01-24,,코스닥,,
우진엔텍,우진엔텍,457550,2024-01-24,5300.0,코스닥,,
HB인베스트먼트,hb인베스트먼트,440290,2024-01-25,3400.0,코스닥,,
드림인사이트,드림인사이트,362990,2024-01-25,,코스닥,,
현대힘스,현대힘스,460930,2024-01-26,7300.0,코스닥,,
엘앤에프,엘앤에프,066970,2024-01-29,,미상,,
포스뱅크,포스뱅크,105760,2024-01-29,18000.0,코스닥,,
IBKS제24호스팩,ibks제24호스팩,469480,2024-02-01,,코스닥,,
레이저옵텍,레이저옵텍,199550,2024-02-01,,코스닥,,
이닉스,이닉스,452400,2024-02-01,14000.0,코스닥,,
폰드그룹,폰드그룹,472850,2024-02-02,,코스닥,,
스튜디오삼익,스튜디오삼익,415380,2024-02-06,18000.0,코스닥,,
신영스팩10호,신영스팩10호,472220,2024-02-06,,코스닥,,
에스피소프트,에스피소프트,443670,2024-02-15,,코스닥,,
사피엔반도체,사피엔반도체,452430,2024-02-19,,코스닥,,
케이웨더,케이웨더,068100,2024-02-22,7000.0,코스닥,,
E8,e8,418620,2024-02-23,,코스닥,,
코셈,코셈,360350,2024-02-23,16000.0,코스닥,,
에이피알,에이피알,278470,2024-02-27,,미상,,
유안타제15호스팩,유안타제15호스팩,473050,2024-02-29,,코스닥,,
유진스팩10호,유진스팩10호,468760,2024-02-29,,코스닥,,
SK증권제11호스팩,sk증권제11호스팩,472230,2024-03-04,,코스닥,,
비엔케이제2호스팩,비엔케이제2호스팩,473370,2024-03-05,,코스닥,,
하나31호스팩,하나31호스팩,469900,2024-03-05,,코스닥,,
케이엔알시스템,케이엔알시스템,199430,2024-03-07,13500.0,코스닥,,
오상헬스케어,오상헬스케어,036220,2024-03-13,20000.0,코스닥,,
삼현,삼현,437730,2024-03-21,30000.0,코스닥,,
제이투케이바이오,제이투케이바이오,420570,2024-03-25,,코스닥,,
엔젤로보틱스,엔젤로보틱스,455900,2024-03-26,20000.0,코스닥,,
하나32호스팩,하나32호스팩,475240,2024-03-27,,코스닥,,
SK이터닉스,sk이터닉스,475150,2024-03-29,,미상,,
아이엠비디엑스,아이엠비디엑스,461030,2024-04-03,13000.0,코스닥,,
신한제12호스팩,신한제12호스팩,474660,2024-04-15,,코스닥,,
신한제13호스팩,신한제13호스팩,474930,2024-04-22,,코스닥,,
하나33호스팩,하나33호스팩,475250,2024-04-24,,코스닥,,
삐아,삐아,451250,2024-04-25,,코스닥,,
제일엠앤에스,제일엠앤에스,412540,2024-04-30,22000.0,코스닥,,
디앤디파마텍,디앤디파마텍,347850,2024-05-02,33000.0,코스닥,,
유안타제16호스팩,유안타제16호스팩,474490,2024-05-02,,코스닥,,
민테크,민테크,452200,2024-05-03,10500.0,코스닥,,
카티스,카티스,140430,2024-05-03,,코스닥,,
SK증권제12호스팩,sk증권제12호스팩,473000,2024-05-07,,코스닥,,
코칩,코칩,126730,2024-05-07,18000.0,코스닥,,
HD현대마린솔루션,hd현대마린솔루션,443060,2024-05-08,,미상,,
아이씨티케이,아이씨티케이,456010,2024-05-17,20000.0,코스닥,,
노브랜드,노브랜드,145170,2024-05-23,14000.0,코스닥,,
미래에셋비전스팩4호,미래에셋비전스팩4호,477380,2024-05-29,,코스닥,,
다원넥스뷰,다원넥스뷰,323350,2024-06-11,,코스닥,,
그리드위즈,그리드위즈,453450,2024-06-14,40000.0,코스닥,,
라메디텍,라메디텍,462510,2024-06-17,16000.0,코스닥,,
디비금융스팩12호,디비금융스팩12호,477760,2024-06-18,,코스닥,,
미래에셋비전스팩5호,미래에셋비전스팩5호,477470,2024-06-19,,코스닥,,
씨어스테크놀로지,씨어스테크놀로지,458870,2024-06-19,17000.0,코스닥,,
KB제29호스팩,kb제29호스팩,478390,2024-06-21,,코스닥,,
미래에셋비전스팩6호,미래에셋비전스팩6호,478440,2024-06-24,,코스닥,,
에이치엠씨제7호스팩,에이치엠씨제7호스팩,477340,2024-06-24,,코스닥,,
파라다이스,파라다이스,034230,2024-06-24,,미상,,
한중엔시에스,한중엔시에스,107640,2024-06-24,30000.0,코스닥,,
에스오에스랩,에스오에스랩,464080,2024-06-25,11500.0,코스닥,,
한국제15호스팩,한국제15호스팩,479880,2024-06-26,,코스닥,,
하이젠알앤엠,하이젠알앤엠,160190,2024-06-27,7000.0,코스닥,,
에이치브이엠,에이치브이엠,295310,2024-06-28,18000.0,코스닥,,
팡스카이,팡스카이,266350,2024-06-28,,코넥스,,
신한글로벌액티브리츠,신한글로벌액티브리츠,481850,2024-07-01,,미상,,
이노스페이스,이노스페이스,462350,2024-07-02,43300.0,코스닥,,
하스,하스,450330,2024-07-03,16000.0,코스닥,,
시프트업,시프트업,462870,2024-07-11,,미상,,
이베스트스팩6호,이베스트스팩6호,478110,2024-07-12,,코스닥,,
엑셀세라퓨틱스,엑셀세라퓨틱스,373110,2024-07-15,10000.0,코스닥,,
SK증권제13호스팩,sk증권제13호스팩,473950,2024-07-25,,코스닥,,
엔에이치스팩31호,엔에이치스팩31호,481890,2024-07-26,,코스닥,,
HS효성,hs효성,487570,2024-07-29,,미상,,
산일전기,산일전기,062040,2024-07-29,,미상,,
피앤에스로보틱스,피앤에스로보틱스,460940,2024-07-31,,코스닥,,
아이빔테크놀로지,아이빔테크놀로지,460470,2024-08-06,10000.0,코스닥,,
뱅크웨어글로벌,뱅크웨어글로벌,199480,2024-08-12,16000.0,코스닥,,
교보16호스팩,교보16호스팩,482520,2024-08-13,,코스닥,,
유라클,유라클,088340,2024-08-16,21000.0,코스닥,,
전진건설로봇,전진건설로봇,079900,2024-08-19,,미상,,
넥스트바이오메디컬,넥스트바이오메디컬,389650,2024-08-20,29000.0,코스닥,,
케이쓰리아이,케이쓰리아이,431190,2024-08-20,15500.0,코스닥,,
티디에스팜,티디에스팜,464280,2024-08-21,13000.0,코스닥,,
M83,m83,476080,2024-08-22,16000.0,코스닥,,
이엔셀,이엔셀,456070,2024-08-23,15300.0,코스닥,,
아이스크림미디어,아이스크림미디어,461300,2024-08-30,32000.0,코스닥,,
아이비젼웍스,아이비젼웍스,469750,2024-09-03,,코스닥,,
미래에셋비전스팩7호,미래에셋비전스팩7호,482680,2024-09-11,,코스닥,,
아이언디바이스,아이언디바이스,464500,2024-09-23,7000.0,코스닥,,
KB제30호스팩,kb제30호스팩,486630,2024-09-25,,코스닥,,
차이커뮤니케이션,차이커뮤니케이션,351870,2024-09-27,,코스닥,,
한화비전,한화비전,489790,2024-09-27,,미상,,
제닉스로보틱스,제닉스로보틱스,381620,2024-09-30,,코스닥,,
셀비온,셀비온,308430,2024-10-16,15000.0,코스닥,,
와이제이링크,와이제이링크,209640,2024-10-18,12000.0,코스닥,,
인스피언,인스피언,465480,2024-10-18,12000.0,코스닥,,
루미르,루미르,474170,2024-10-21,12000.0,코스닥,,
한켐,한켐,457370,2024-10-22,18000.0,코스닥,,
씨메스,씨메스,475400,2024-10-24,30000.0,코스닥,,
에이치엔에스하이텍,에이치엔에스하이텍,044990,2024-10-25,22000.0,코스닥,,
웨이비스,웨이비스,289930,2024-10-25,15000.0,코스닥,,
클로봇,클로봇,466100,2024-10-28,13000.0,코스닥,,
타조이엔터테인먼트,타조이엔터테인먼트,476710,2024-10-30,,코넥스,,
성우,성우,458650,2024-10-31,,코스닥,,
유진스팩11호,유진스팩11호,488060,2024-10-31,,코스닥,,
에이럭스,에이럭스,475580,2024-11-01,16000.0,코스닥,,
탑런토탈솔루션,탑런토탈솔루션,336680,2024-11-01,18000.0,코스닥,,
HEM파마,hem파마,376270,2024-11-05,,코스닥,,
더본코리아,더본코리아,475560,2024-11-06,,미상,,
토모큐브,토모큐브,475960,2024-11-07,16000.0,코스닥,,
에어레인,에어레인,163280,2024-11-08,23000.0,코스닥,,
노머스,노머스,473980,2024-11-12,30200.0,코스닥,,
닷밀,닷밀,464580,2024-11-13,13000.0,코스닥,,
쓰리빌리언,쓰리빌리언,394800,2024-11-14,4500.0,코스닥,,
신한제15호스팩,신한제15호스팩,487830,2024-11-15,,코스닥,,
에스켐,에스켐,475660,2024-11-18,10000.0,코스닥,,
엠오티,엠오티,413390,2024-11-18,10000.0,코스닥,,
RF시스템즈,rf시스템즈,474610,2024-11-19,,코스닥,,
사이냅소프트,사이냅소프트,466410,2024-11-19,24500.0,코스닥,,
하나34호스팩,하나34호스팩,484130,2024-11-19,,코스닥,,
대신밸런스제19호스팩,대신밸런스제19호스팩,482690,2024-11-20,,코스닥,,
위츠,위츠,459100,2024-11-20,6400.0,코스닥,,
유디엠텍,유디엠텍,389680,2024-11-20,,코스닥,,
교보17호스팩,교보17호스팩,489210,2024-11-21,,코스닥,,
디비금융제13호스팩,디비금융제13호스팩,489730,2024-11-28,,코스닥,,
KB발해인프라,kb발해인프라,415640,2024-11-29,,미상,,
키움제11호스팩,키움제11호스팩,489480,2024-12-11,,코스닥,,
KB제31호스팩,kb제31호스팩,492220,2024-12-12,,코스닥,,
셀로맥스사이언스,셀로맥스사이언스,471820,2024-12-13,,코스닥,,
벡트,벡트,457600,2024-12-16,3900.0,코스닥,,
엠앤씨솔루션,엠앤씨솔루션,484870,2024-12-16,,미상,,
온코크로스,온코크로스,382150,2024-12-18,7300.0,코스닥,,
에스지헬스케어,에스지헬스케어,398120,2024-12-19,,코스닥,,
온코닉테라퓨틱스,온코닉테라퓨틱스,476060,2024-12-19,13000.0,코스닥,,
듀켐바이오,듀켐바이오,176750,2024-12-20,8000.0,코스닥,,
키움제10호스팩,키움제10호스팩,487720,2024-12-20,,코스닥,,
GS피앤엘,gs피앤엘,499790,2024-12-23,,미상,,
신한제14호스팩,신한제14호스팩,487360,2024-12-23,,코스닥,,
유비씨,유비씨,495810,2024-12-23,,코넥스,,
창대정밀,창대정밀,368030,2024-12-23,,코넥스,,
쓰리에이로직스,쓰리에이로직스,177900,2024-12-24,11000.0,코스닥,,
엠에프씨,엠에프씨,432980,2024-12-26,,코스닥,,
파인메딕스,파인메딕스,387570,2024-12-26,10000.0,코스닥,,
오션스바이오,오션스바이오,332190,2025-01-14,,코넥스,,
블랙야크아이앤씨,블랙야크아이앤씨,478560,2025-01-21,,코스닥,,
미트박스,미트박스,475460,2025-01-23,19000.0,코스닥,,
유안타제17호스팩,유안타제17호스팩,493790,2025-01-23,,코스닥,,
데이원컴퍼니,데이원컴퍼니,373160,2025-01-24,13000.0,코스닥,,
아스테라시스,아스테라시스,450950,2025-01-24,4600.0,코스닥,,
와이즈넛,와이즈넛,096250,2025-01-24,17000.0,코스닥,,
삼양엔씨켐,삼양엔씨켐,482630,2025-02-03,18000.0,코스닥,,
아이지넷,아이지넷,462980,2025-02-04,7000.0,코스닥,,
피아이이,피아이이,452450,2025-02-04,5000.0,코스닥,,
LG씨엔에스,lg씨엔에스,064400,2025-02-05,,미상,,
아이에스티이,아이에스티이,212710,2025-02-12,11400.0,코스닥,,
동방메디컬,동방메디컬,240550,2025-02-13,,코스닥,,
오름테라퓨틱,오름테라퓨틱,475830,2025-02-14,20000.0,코스닥,,
동국생명과학,동국생명과학,303810,2025-02-17,9000.0,코스닥,,
모티브링크,모티브링크,463480,2025-02-20,6000.0,코스닥,,
위너스,위너스,479960,2025-02-24,8500.0,코스닥,,
엘케이켐,엘케이켐,489500,2025-02-25,21000.0,코스닥,,
에르코스,에르코스,435570,2025-02-28,,코스닥,,
대진첨단소재,대진첨단소재,393970,2025-03-06,9000.0,코스닥,,
에스엠씨지,에스엠씨지,460870,2025-03-07,,코스닥,,
엠디바이스,엠디바이스,226590,2025-03-07,8350.0,코스닥,,
서울보증보험,서울보증보험,031210,2025-03-14,,미상,,
씨케이솔루션,씨케이솔루션,480370,2025-03-17,,미상,,
티엑스알로보틱스,티엑스알로보틱스,484810,2025-03-20,13500.0,코스닥,,
한텍,한텍,098070,2025-03-20,10800.0,코스닥,,
한화플러스제5호스팩,한화플러스제5호스팩,498390,2025-03-20,,코스닥,,
심플랫폼,심플랫폼,444530,2025-03-21,15000.0,코스닥,,
더즌,더즌,462860,2025-03-24,9000.0,코스닥,,
우양에이치씨,우양에이치씨,101970,2025-03-28,,코스닥,,
에이유브랜즈,에이유브랜즈,481070,2025-04-03,16000.0,코스닥,,
한국피아이엠,한국피아이엠,448900,2025-04-04,11200.0,코스닥,,
쎄크,쎄크,081180,2025-04-28,15000.0,코스닥,,
에이아이코리아,에이아이코리아,364950,2025-04-29,,코스닥,,
나우로보틱스,나우로보틱스,459510,2025-05-08,6800.0,코스닥,,
오가노이드사이언스,오가노이드사이언스,476040,2025-05-09,21000.0,코스닥,,
원일티엔아이,원일티엔아이,136150,2025-05-09,13500.0,코스닥,,
로킷헬스케어,로킷헬스케어,376900,2025-05-12,11000.0,코스닥,,
티씨머티리얼즈,티씨머티리얼즈,125020,2025-05-15,,코스닥,,
바이오포트,바이오포트,188040,2025-05-16,,코스닥,,
이뮨온시아,이뮨온시아,424870,2025-05-19,3600.0,코스닥,,
바이오비쥬,바이오비쥬,489460,2025-05-20,9100.0,코스닥,,
달바글로벌,달바글로벌,483650,2025-05-22,,미상,,
인투셀,인투셀,287840,2025-05-23,17000.0,코스닥,,
신한제16호스팩,신한제16호스팩,496070,2025-05-29,,코스닥,,
키스트론,키스트론,475430,2025-06-02,3600.0,코스닥,,
링크솔루션,링크솔루션,474650,2025-06-10,23000.0,코스닥,,
지씨지놈,지씨지놈,340450,2025-06-11,10500.0,코스닥,,
케이지에이,케이지에이,455180,2025-06-17,,코스닥,,
지에프씨생명과학,지에프씨생명과학,388610,2025-06-30,15300.0,코스닥,,
KB제32호스팩,kb제32호스팩,,2025-07-04,,코스닥,,
뉴엔AI,뉴엔ai,463020,2025-07-04,15000.0,코스닥,,
싸이닉솔루션,싸이닉솔루션,234030,2025-07-07,4700.0,코스닥,,
뉴키즈온,뉴키즈온,462310,2025-07-09,,코스닥,,
대신밸류리츠,대신밸류리츠,,2025-07-10,,미상,,
아우토크립트,아우토크립트,331740,2025-07-15,22000.0,코스닥,,
디비금융제14호스팩,디비금융제14호스팩,,2025-07-22,,코스닥,,
엘에스스팩1호,엘에스스팩1호,,2025-07-22,,코스닥,,
도우인시스,도우인시스,484120,2025-07-23,32000.0,코스닥,,
뉴로핏,뉴로핏,380550,2025-07-25,14000.0,코스닥,,
엔알비,엔알비,475230,2025-07-28,21000.0,코스닥,,
프로티나,프로티나,468530,2025-07-29,14000.0,코스닥,,
대한조선,대한조선,439260,2025-08-01,,미상,,
하나35호스팩,하나35호스팩,,2025-08-06,,코스닥,,
아이티켐,아이티켐,309710,2025-08-07,16100.0,코스닥,,
교보18호스팩,교보18호스팩,,2025-08-14,,코스닥,,
지투지바이오,지투지바이오,456160,2025-08-14,58000.0,코스닥,,
삼양컴텍,삼양컴텍,484590,2025-08-18,7700.0,코스닥,,
에스엔시스,에스엔시스,000008,2025-08-19,30000.0,코스닥,,
한라캐스트,한라캐스트,125490,2025-08-20,5800.0,코스닥,,
삼성스팩10호,삼성스팩10호,,2025-08-21,,코스닥,,
제이피아이헬스케어,제이피아이헬스케어,,2025-08-21,,코스닥,,
애드포러스,애드포러스,397810,2025-08-22,,코스닥,,
그래피,그래피,318060,2025-08-25,15000.0,코스닥,,
본시스템즈,본시스템즈,496320,2025-09-08,,코넥스,,
오아,오아,342870,2025-09-09,,코스닥,,
에스투더블유,에스투더블유,488280,2025-09-19,13200.0,코스닥,,
KB제33호스팩,kb제33호스팩,,2025-09-30,,코스닥,,
삼성스팩11호,삼성스팩11호,,2025-09-30,,코스닥,,
명인제약,명인제약,317450,2025-10-01,58000.0,미상,,
삼익제약,삼익제약,014950,2025-10-27,,코스닥,,
노타,노타,486990,2025-11-03,9100.0,코스닥,,
이노테크,이노테크,469610,2025-11-07,14700.0,코스닥,,
큐리오시스,큐리오시스,494120,2025-11-13,22000.0,코스닥,,
세나테크놀로지,세나테크놀로지,061090,2025-11-14,56800.0,코스닥,,
그린광학,그린광학,000015,2025-11-17,16000.0,코스닥,,
알트,알트,459550,2025-11-17,,코스닥,,
더핑크퐁컴퍼니,더핑크퐁컴퍼니,403850,2025-11-18,38000.0,코스닥,,
아이엘로보틱스,아이엘로보틱스,403810,2025-11-18,,코넥스,,
씨엠티엑스,씨엠티엑스,388210,2025-11-20,60500.0,코스닥,,
비엔케이제3호스팩,비엔케이제3호스팩,,2025-11-21,,코스닥,,
비츠로넥스텍,비츠로넥스텍,488900,2025-11-21,6900.0,코스닥,,
삼성에피스홀딩스,삼성에피스홀딩스,,2025-11-24,,미상,,
삼양바이오팜,삼양바이오팜,,2025-11-24,,미상,,
신영스팩11호,신영스팩11호,,2025-11-24,,코스닥,,
미래에셋비전스팩8호,미래에셋비전스팩8호,,2025-11-27,,코스닥,,
아로마티카,아로마티카,000015,2025-11-27,16000.0,코스닥,,
삼성스팩12호,삼성스팩12호,,2025-11-28,,코스닥,,
미래에셋비전스팩9호,미래에셋비전스팩9호,,2025-12-01,,코스닥,,
에임드바이오,에임드바이오,000009,2025-12-04,11000.0,코스닥,,
엔에이치스팩32호,엔에이치스팩32호,,2025-12-05,,코스닥,,
테라뷰,테라뷰,950250,2025-12-09,8000.0,코스닥,,
페스카로,페스카로,000015,2025-12-10,16000.0,코스닥,,
유진스팩12호,유진스팩12호,,2025-12-11,,코스닥,,
이지스,이지스,261520,2025-12-11,15000.0,코스닥,,
교보19호스팩,교보19호스팩,,2025-12-12,,코스닥,,
쿼드메디슨,쿼드메디슨,464490,2025-12-12,15000.0,코스닥,,
키움히어로제1호스팩,키움히어로제1호스팩,466690,2025-12-12,,코스닥,,
메리츠제1호스팩,메리츠제1호스팩,,2025-12-15,,코스닥,,
티엠씨,티엠씨,217590,2025-12-15,,미상,,
아크릴,아크릴,000007,2025-12-16,19500.0,코스닥,신한투자증권,
나라스페이스테크놀로지,나라스페이스테크놀로지,478340,2025-12-17,16500.0,코스닥,삼성증권,
알지노믹스,알지노믹스,476830,2025-12-18,22500.0,코스닥,"삼성증권,NH투자증권",
IBKS제25호스팩,ibks제25호스팩,,2025-12-19,,코스닥,,
미래에셋비전스팩11호,미래에셋비전스팩11호,,2025-12-22,2000.0,코스닥,미래에셋증권,
삼진식품,삼진식품,,2025-12-22,7600.0,코스닥,대신증권,
엔더블유시,엔더블유시,059180,2025-12-22,,코넥스,,
하나36호스팩,하나36호스팩,,2025-12-22,,코스닥,,
미래에셋비전스팩10호,미래에셋비전스팩10호,,2025-12-23,2000.0,코스닥,미래에셋증권,
리브스메드,리브스메드,491000,2025-12-24,55000.0,코스닥,"삼성증권,미래에셋증권",
삼미금속,삼미금속,012210,2025-12-29,,코스닥,,
세미파이브,세미파이브,490470,2025-12-29,24000.0,코스닥,삼성증권,
엔비알모션,엔비알모션,,2026-01-14,,코스닥,,
지에프아이,지에프아이,493330,2026-01-14,,코스닥,,
삼성스팩13호,삼성스팩13호,,2026-01-21,2000.0,코스닥,삼성증권,
덕양에너젠,덕양에너젠,000001,2026-01-30,10000.0,코스닥,"NH투자증권,미래에셋증권",
케이뱅크(유가),케이뱅크,279570,2026-03-05,8300.0,미상,"NH투자증권,삼성증권,신한투자증권",
에스팀,에스팀,458350,2026-03-06,8500.0,코스닥,한국투자증권,
액스비스,액스비스,000011,2026-03-09,11500.0,코스닥,미래에셋증권,
카나프테라퓨틱스,카나프테라퓨틱스,000082,2026-03-16,20000.0,코스닥,한국투자증권,
아이엠바이오로직스,아이엠바이오로직스,493280,2026-03-20,26000.0,코스닥,"한국투자증권,신한투자증권",
한패스,한패스,408470,2026-03-25,19000.0,코스닥,"한국투자증권,대신증권",
메쥬,메쥬,000088,2026-03-26,21600.0,코스닥,신한투자증권,
엔에이치스팩33호,엔에이치스팩33호,,2026-03-27,,코스닥,,
